PROD - Regulation HedgeServerToLiquidity_Mapping,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROD - Regulations - ALL_NEW,Run all New from BI at 12:30am,1,4,1,1,0,20220627,3000,99991231,235959
PROD - Regulations - MIFID2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROD - Regulations - MIFID2_BKREP2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROD - Regulations - Movments Report,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROD - Regulations - Reg Instrument SCD,RUN SP_Reg_Instruments_SCD,1,4,1,1,0,20220624,180000,99991231,235959
PROD - Regulations - Reg_Every_30_Minutes,Daily_Every_30_mins_Between_3AM_to_7PM,1,4,1,4,30,20220525,30000,99991231,190000
PROD - Regulations - TR_Audit_VS_BestEx,run SP,1,4,1,1,0,20230402,40000,99991231,235959
